t	u	y
219.5	86.44730931	131.4061526
220	86.44730931	133.0900663
220.5	86.44730931	128.9285737
221	86.44730931	127.201827
221.5	86.44730931	123.2472482
222	86.44730931	125.4951062
222.5	86.44730931	134.4568561
223	86.44730931	130.5291519
223.5	86.44730931	124.9651666
224	86.44730931	129.0933137
224.5	2.616610003	82.34241208
225	2.616610003	38.26439988
225.5	2.616610003	18.14972061
226	2.616610003	7.454698642
226.5	2.616610003	6.206298496
227	2.616610003	2.334860382
227.5	2.616610003	0
228	2.616610003	0
228.5	2.616610003	0
229	2.616610003	2.75085427
229.5	2.616610003	0
230	2.616610003	3.480596787
230.5	2.616610003	4.840402266
231	2.616610003	5.888672688
231.5	2.616610003	4.656543219
232	2.616610003	4.439087559
232.5	2.616610003	0
233	2.616610003	0
233.5	2.616610003	0
234	2.616610003	3.044980696
234.5	2.616610003	0
235	2.616610003	0
235.5	2.616610003	0
236	2.616610003	0
236.5	2.616610003	0
237	2.616610003	0
237.5	2.616610003	0
238	2.616610003	0
238.5	2.616610003	0
239	2.616610003	1.30446659
239.5	2.616610003	1.130969833
240	2.616610003	3.287255178
240.5	2.616610003	5.05861958
241	2.616610003	3.532270085
241.5	2.616610003	0
242	2.616610003	3.210313291
242.5	2.616610003	4.888619044
243	2.616610003	3.460660409
243.5	2.616610003	3.184478778
244	2.616610003	6.322074561
244.5	2.616610003	6.440886797
245	2.616610003	8.547558435
245.5	2.616610003	4.472931487
246	2.616610003	4.281080116
246.5	2.616610003	11.52293804
247	2.616610003	6.398829548
247.5	2.616610003	5.451585573
248	2.616610003	3.434985829
248.5	2.616610003	1.570541102
249	2.616610003	2.733198364
249.5	2.616610003	0
250	2.616610003	0.342962241
250.5	2.616610003	0
251	2.616610003	0
251.5	2.616610003	6.481396694
252	2.616610003	13.6354024
252.5	2.616610003	8.934700056
253	2.616610003	2.047079571
253.5	2.616610003	7.42475402
254	2.616610003	3.576328757
254.5	2.616610003	0
255	2.616610003	0
255.5	2.616610003	0
256	2.616610003	8.417339363
256.5	2.616610003	10.79013461
257	2.616610003	2.629167105
257.5	2.616610003	1.69052992
258	2.616610003	13.06229324
258.5	2.616610003	12.36835293
259	2.616610003	6.625364559
259.5	2.616610003	0
260	2.616610003	0.340621782
260.5	2.616610003	4.284618186
261	2.616610003	0.844075905
261.5	2.616610003	4.48670127
262	2.616610003	4.331816186
262.5	2.616610003	7.503929215
263	2.616610003	13.83576175
263.5	2.616610003	13.61945066
264	2.616610003	12.66036311
264.5	2.616610003	8.651746838
265	2.616610003	10.99619447
265.5	2.616610003	7.046758361
266	2.616610003	11.88374145
266.5	2.616610003	9.143243414
267	2.616610003	13.98787916
267.5	2.616610003	15.97677601
268	2.616610003	2.647236872
268.5	2.616610003	0.770586338
269	2.616610003	4.310765066
269.5	2.616610003	18.33006442
270	2.616610003	18.22484957
270.5	2.616610003	4.952865013
271	2.616610003	0.722855074
271.5	2.616610003	0
272	2.616610003	4.19050752
272.5	2.616610003	1.532835221
273	2.616610003	0
273.5	2.616610003	0.815544799
274	2.616610003	2.758169393
274.5	2.616610003	0
275	2.616610003	0.894487843
275.5	2.616610003	3.231970238
276	2.616610003	3.612129993
276.5	2.616610003	0
277	2.616610003	7.055547291
277.5	2.616610003	0
278	2.616610003	0
278.5	2.616610003	0
279	2.616610003	0
279.5	2.616610003	0.698265795
280	2.616610003	1.63677889
280.5	2.616610003	7.448691117
281	2.616610003	8.228330337
281.5	2.616610003	6.480664714
282	2.616610003	7.439189332
282.5	2.616610003	4.164138876
283	2.616610003	5.847929007
283.5	2.616610003	3.664644022
284	2.616610003	5.726381577
284.5	2.616610003	4.47746631
285	2.616610003	7.959544746
285.5	2.616610003	5.055556257
286	2.616610003	0
286.5	2.616610003	0
287	2.616610003	5.709230967
287.5	2.616610003	6.827438765
288	2.616610003	0
288.5	2.616610003	6.532860699
289	2.616610003	13.06778101
289.5	2.616610003	13.69428247
290	29.18067801	28.26295499
